Frijol;c-otragr;40794.07807;0;35;Frijol;53478.11593;0;30;Productos de la silvicultura;252102.9279;0;50;Artículos textiles, excepto prendas de vestir;214329.3294;0;78;Servicios de reparación e instalación de maquinaria 
Maíz;c-otragr;113196.2511;1;35;Maíz;69227.19013;1;31;Productos de la pesca;494308.3983;1;50;Prendas de vestir;765572.3861;1;68;Energía eléctrica, gas, vapor y aire acondionado
Trigo;c-otragr;46486.7411;2;35;Trigo;32996.54624;2;31;Productos de la acuicultura;61358.27749;2;50;Cuero y productos conexos, excepto calzado;168889.5272;2;69;Agua potable y alcantarillado
Otros cereales;c-otragr;675.8932705;3;35;Otros cereales;172835.1822;3;32;Piedra, arena y arcilla;160261.3827;3;50;Calzado;101753.5693;3;78;Servicio de recogida, tratamiento de desechos
Legumbres y otras semillas oleaginosas;c-otragr;120859.5913;4;35;Legumbres y otras semillas oleaginosas;2187.119499;4;32;Sal;169739.2965;4;51;Madera y corcho, productos de madera y corcho;7761.923115;4;78;Servicios de protección del medio ambiente
Arroz;c-otragr;93456.03185;5;35;Arroz;11.40374138;5;32;Petróleo y gas natural;783063.9518;5;51;Papel y productos de papel;842268.2998;5;70;Edificaciones residenciales
Sandía;c-otragr;17462.45832;6;35;Sandía;35686.96933;6;32;Otros minerales metálicos, no metálicos;240302.4979;6;51;Productos de la edición, impresión y grabaciones;1235973.852;6;70;Edificaciones no residenciales
Melón;c-otragr;37861.54906;7;35;Melón;298499.1297;7;33;Carne y despojos comestibles de aves;775971.1823;7;52;Gasolina;205724.3484;7;70;Carreteras y vías férreas
Cebolla;c-otragr;26011.10168;8;35;Cebolla;197927.504;8;33;Carne y despojos comestibles de ganado vacuno;661460.0213;8;52;Diesel;746803.9914;8;70;Construcción de proyectos de servicio público
Chayote;c-otragr;19791.94055;9;35;Chayote;131621.8125;9;33;Carne y despojos comestibles de ganado porcino;104924.9974;9;52;Bunker;864574.9008;9;70;Servicios especiales y generales de la construcción
Papa;c-otragr;25772.45854;10;35;Papa;151195.6375;10;33;Embutidos y otros productos cárnicos;95954.41897;10;52;Aceites y grasas lubricantes;3370196.637;10;71;Servicios de Comercio
Raíces y tubérculos n.c.p.;c-otragr;70725.97446;11;35;Raíces y tubérculos n.c.p.;219125.6545;11;33;Pescados, crustáceos y moluscos conservados;77883.22162;11;52;Otros productos derivados del petróleo y de coque;433678.969;11;71;Mantenimiento y reparación de vehículos
Hortalizas n.c.p.;c-otragr;85458.59147;12;35;Hortalizas n.c.p.;439338.0925;12;33;Frutas, legumbres y hortalizas en conserva;548324.3246;12;53;Sustancias químicas básicas y abonos ;1652.835678;12;72;Servicios de transporte por ferrocarril
Caña de azúcar;c-otragr;102865.7748;13;35;Caña de azúcar;292331.9414;13;33;Aceites vegetales crudos y refinados;272870.6973;13;53;Plásticos y caucho sintético en formas primarias;374908.6538;13;72;Servicios de transporte terrestre
Flores;c-otragr;35784.76354;14;35;Flores;193427.9272;14;33;Otros aceites y grasas de origen vegetal y animal n.c.p.;205435.3604;14;53;Pesticidas y otros productos químicos de uso agropecuario;353690.5068;14;72;Servicio de taxis
Follajes;c-otragr;25801.33772;15;35;Follajes;540464.0581;15;33;Productos lácteos;201821.9814;15;53;Pinturas, barnices, revestimientos;487959.5721;15;72;Transporte de carga
Banano;c-banano;442126.8725;16;36;Banano;183412.9654;16;33;Arroz descascarillado, elaborado y semielaborado ;507209.9964;16;53;Jabones, detergentes, perfumes;286272.2732;16;72;Transporte de pasajeros por vía marítima y aérea
Plátano;c-otragr;24175.16541;17;35;Plátano;110474.356;17;33;Harina de Trigo;165910.2552;17;53;Fibras artificiales y productos químicos n.c.p;80076.37028;17;72;Servicios de almacenamiento y depósito
Piña;c-pinia;438062.2228;18;35;Piña;132882.1359;18;33;Otros productos de molinería n.c.p., almidones y sus derivados;545702.3443;18;53;Productos farmacéuticos y medicinales;28305.16588;18;72;Servicios de estacionamientos
Palma aceitera;c-otragr;94156.07255;19;35;Palma aceitera;403786.2405;19;33;Productos de panadería;288633.6223;19;54;Productos de caucho;148381.4019;19;72;Otros servicios vinculados con transporte
Café en fruta;c-cafeenfruta;188089.0624;20;37;Café en fruta;183216.0588;20;33;Azúcar de caña, melazas, jarabes y otros azúcares;108715.753;20;54;Perfiles, tubería y conexiones de plástico ;30252.62675;20;72;Carga y descarga
Mango;c-otragr;12748.43641;21;35;Mango;90446.19801;21;33;Cacao, chocolates y productos de confitería;626157.2939;21;54;Otros productos de plástico;174801.5542;21;72;Otros servicios de apoyo al transporte
